id_venta,fecha,cliente,producto,categoria,cantidad,precio_unitario,descuento,total,ciudad,metodo_pago,canal,vendedor,estado
97,2024-08-03,Cliente_004,Webcam,Computadores,7,1741.99,0.06,11462.29,Pereira,Efectivo,Web,Vendedor_011,Pendiente
98,2024-09-19,Cliente_002,Tablet,Computadores,7,627.82,0.1,3955.27,Bucaramanga,Tarjeta_Credito,Call_Center,Vendedor_034,Completada
99,2024-06-29,Cliente_010,Mouse,Computadores,3,1165.72,0.05,3322.3,Cartagena,Efectivo,Tienda,Vendedor_012,Completada
100,2024-06-27,Cliente_005,Impresora,Almacenamiento,1,514.31,0.06,483.45,Bucaramanga,Transferencia,Tienda,Vendedor_019,Cancelada
101,2024-05-17,Cliente_007,Monitor,Almacenamiento,9,1424.67,0.02,12565.59,Medellin,Tarjeta_Debito,Web,Vendedor_044,Pendiente
102,2024-09-28,Cliente_003,Webcam,Computadores,5,113.15,0.16,475.23,Medellin,Tarjeta_Credito,Call_Center,Vendedor_037,Completada
103,2024-10-09,Cliente_006,Disco_SSD,Computadores,3,239.4,0.11,639.2,Bogota,Transferencia,Call_Center,Vendedor_010,Completada
104,2024-09-14,Cliente_005,Disco_SSD,Computadores,4,723.54,0.07,2691.57,Cali,Transferencia,Tienda,Vendedor_003,Completada
105,2024-03-11,Cliente_005,Monitor,Perifericos,4,1209.87,0.15,4113.56,Bucaramanga,Transferencia,Web,Vendedor_038,Cancelada
106,2024-05-10,Cliente_007,Webcam,Almacenamiento,10,929.23,0.01,9199.38,Cali,Efectivo,Web,Vendedor_040,Completada
107,2024-07-23,Cliente_001,Audifonos,Computadores,5,59.75,0.2,239.0,Medellin,Efectivo,Web,Vendedor_011,Cancelada
108,2024-01-03,Cliente_009,Mouse,Impresion,7,17.63,0.16,103.66,Bogota,Efectivo,App,Vendedor_001,Pendiente
109,2024-12-25,Cliente_008,Celular,Perifericos,9,1040.09,0.1,8424.73,Cali,Tarjeta_Credito,App,Vendedor_001,Pendiente
110,2024-02-29,Cliente_006,Laptop,Telefonia,1,1124.0,0.01,1112.76,Medellin,Tarjeta_Credito,Web,Vendedor_030,Pendiente
111,2024-04-20,Cliente_006,Celular,Impresion,2,1687.05,0.12,2969.21,Bogota,Transferencia,Tienda,Vendedor_018,Pendiente
112,2024-10-18,Cliente_005,Teclado,Impresion,1,395.48,0.03,383.62,Cali,Tarjeta_Credito,App,Vendedor_049,Cancelada
113,2024-12-22,Cliente_003,Mouse,Almacenamiento,6,1196.92,0.16,6032.48,Bogota,Tarjeta_Debito,Tienda,Vendedor_034,Completada
114,2024-06-04,Cliente_009,Tablet,Computadores,4,1877.37,0.08,6908.72,Cali,Tarjeta_Credito,Web,Vendedor_047,Cancelada
115,2024-02-15,Cliente_004,Laptop,Perifericos,7,338.08,0.0,2366.56,Barranquilla,Transferencia,App,Vendedor_016,Cancelada
116,2024-06-08,Cliente_004,Impresora,Computadores,1,591.83,0.14,508.97,Barranquilla,Tarjeta_Credito,App,Vendedor_042,Completada
117,2024-05-17,Cliente_008,Laptop,Almacenamiento,2,380.17,0.2,608.27,Manizales,Tarjeta_Credito,Web,Vendedor_042,Pendiente
118,2024-01-04,Cliente_004,Impresora,Perifericos,2,851.82,0.15,1448.09,Bogota,Tarjeta_Credito,App,Vendedor_049,Cancelada
119,2024-09-24,Cliente_004,Audifonos,Computadores,6,803.8,0.09,4388.75,Medellin,Tarjeta_Credito,Web,Vendedor_010,Cancelada
120,2024-05-21,Cliente_010,Mouse,Computadores,7,689.25,0.16,4052.79,Pereira,Tarjeta_Credito,Call_Center,Vendedor_013,Pendiente
121,2024-01-02,Cliente_001,Webcam,Perifericos,9,58.32,0.11,467.14,Manizales,Transferencia,Call_Center,Vendedor_011,Completada
122,2024-06-01,Cliente_009,Audifonos,Impresion,4,526.54,0.13,1832.36,Bucaramanga,Tarjeta_Credito,Web,Vendedor_041,Pendiente
123,2024-07-01,Cliente_007,Audifonos,Impresion,5,1062.79,0.01,5260.81,Cali,Tarjeta_Debito,Web,Vendedor_042,Pendiente
124,2024-08-04,Cliente_001,Celular,Computadores,7,69.54,0.1,438.1,Medellin,Tarjeta_Debito,App,Vendedor_014,Completada
125,2024-06-28,Cliente_007,Monitor,Telefonia,8,1240.86,0.06,9331.27,Cartagena,Transferencia,Web,Vendedor_036,Completada
126,2024-10-18,Cliente_009,Laptop,Computadores,6,395.89,0.19,1924.03,Pereira,Efectivo,Tienda,Vendedor_005,Cancelada
127,2024-01-05,Cliente_007,Disco_SSD,Impresion,8,84.68,0.15,575.82,Barranquilla,Tarjeta_Debito,Tienda,Vendedor_039,Cancelada
128,2024-12-23,Cliente_007,Mouse,Almacenamiento,10,1486.65,0.14,12785.19,Pereira,Tarjeta_Debito,Web,Vendedor_050,Pendiente
129,2024-02-09,Cliente_005,Celular,Perifericos,4,1514.6,0.16,5089.06,Cali,Transferencia,Web,Vendedor_008,Completada
130,2024-10-18,Cliente_001,Tablet,Computadores,8,136.89,0.17,908.95,Manizales,Tarjeta_Debito,Web,Vendedor_007,Completada
131,2024-03-06,Cliente_001,Mouse,Telefonia,4,1581.27,0.03,6135.33,Cartagena,Tarjeta_Debito,Web,Vendedor_004,Completada
132,2024-11-03,Cliente_009,Celular,Impresion,9,1795.14,0.14,13894.38,Manizales,Efectivo,Tienda,Vendedor_021,Pendiente
133,2024-05-27,Cliente_005,Monitor,Computadores,3,1410.49,0.09,3850.64,Bucaramanga,Tarjeta_Debito,Web,Vendedor_036,Cancelada
134,2024-08-25,Cliente_005,Celular,Computadores,7,1840.11,0.1,11592.69,Cali,Transferencia,Web,Vendedor_017,Cancelada
135,2024-01-30,Cliente_005,Webcam,Almacenamiento,4,1653.48,0.07,6150.95,Bucaramanga,Tarjeta_Credito,Tienda,Vendedor_002,Completada
136,2024-01-28,Cliente_008,Teclado,Computadores,6,831.47,0.11,4440.05,Medellin,Tarjeta_Debito,App,Vendedor_017,Completada
137,2024-06-04,Cliente_004,Monitor,Impresion,10,967.48,0.11,8610.57,Barranquilla,Efectivo,Call_Center,Vendedor_035,Cancelada
138,2024-04-03,Cliente_004,Teclado,Computadores,1,545.61,0.11,485.59,Cali,Transferencia,Call_Center,Vendedor_043,Pendiente
139,2024-04-05,Cliente_002,Impresora,Impresion,5,1883.19,0.07,8756.83,Pereira,Transferencia,App,Vendedor_050,Cancelada
140,2024-11-08,Cliente_004,Impresora,Telefonia,1,556.65,0.08,512.12,Bogota,Transferencia,App,Vendedor_037,Cancelada
141,2024-03-27,Cliente_010,Teclado,Telefonia,1,882.24,0.06,829.31,Cali,Tarjeta_Debito,Tienda,Vendedor_023,Pendiente
142,2024-03-21,Cliente_004,Mouse,Telefonia,5,493.7,0.15,2098.22,Bogota,Efectivo,Web,Vendedor_043,Cancelada
143,2024-10-07,Cliente_001,Laptop,Perifericos,3,1462.26,0.02,4299.04,Manizales,Transferencia,Call_Center,Vendedor_035,Pendiente
144,2024-07-08,Cliente_002,Impresora,Perifericos,4,1889.27,0.11,6725.8,Medellin,Tarjeta_Debito,Call_Center,Vendedor_032,Pendiente
145,2024-04-15,Cliente_006,Laptop,Computadores,5,747.16,0.06,3511.65,Barranquilla,Tarjeta_Debito,Tienda,Vendedor_008,Pendiente
146,2024-12-01,Cliente_006,Monitor,Perifericos,7,247.71,0.17,1439.2,Pereira,Efectivo,Web,Vendedor_015,Cancelada
147,2024-10-28,Cliente_003,Tablet,Perifericos,5,486.28,0.07,2261.2,Cali,Tarjeta_Credito,Web,Vendedor_037,Cancelada
148,2024-06-07,Cliente_001,Mouse,Computadores,3,564.63,0.05,1609.2,Medellin,Transferencia,App,Vendedor_013,Completada
149,2024-08-17,Cliente_009,Celular,Telefonia,7,60.73,0.2,340.09,Bogota,Tarjeta_Debito,Call_Center,Vendedor_016,Completada
150,2024-08-01,Cliente_008,Tablet,Impresion,6,1135.05,0.17,5652.55,Manizales,Tarjeta_Credito,App,Vendedor_039,Pendiente
151,2024-03-28,Cliente_009,Celular,Computadores,6,1057.33,0.01,6280.54,Bucaramanga,Transferencia,Call_Center,Vendedor_045,Cancelada
152,2024-01-01,Cliente_003,Impresora,Almacenamiento,1,1282.5,0.17,1064.47,Bucaramanga,Efectivo,Tienda,Vendedor_015,Cancelada
153,2024-07-06,Cliente_005,Celular,Telefonia,4,298.15,0.19,966.01,Manizales,Transferencia,Tienda,Vendedor_034,Cancelada
154,2024-01-07,Cliente_006,Teclado,Almacenamiento,3,214.75,0.0,644.25,Cartagena,Efectivo,Web,Vendedor_033,Pendiente
155,2024-07-13,Cliente_008,Disco_SSD,Almacenamiento,7,1839.43,0.19,10429.57,Manizales,Tarjeta_Debito,Web,Vendedor_008,Completada
156,2024-03-20,Cliente_008,Webcam,Almacenamiento,8,1281.5,0.13,8919.24,Barranquilla,Tarjeta_Debito,App,Vendedor_004,Completada
157,2024-05-10,Cliente_007,Laptop,Almacenamiento,4,598.98,0.09,2180.29,Manizales,Tarjeta_Credito,Tienda,Vendedor_011,Pendiente
158,2024-05-17,Cliente_003,Audifonos,Computadores,8,1022.9,0.04,7855.87,Manizales,Efectivo,Tienda,Vendedor_037,Completada
159,2024-01-14,Cliente_009,Impresora,Perifericos,8,299.52,0.19,1940.89,Barranquilla,Efectivo,Web,Vendedor_028,Completada
160,2024-08-25,Cliente_005,Audifonos,Almacenamiento,3,1512.13,0.1,4082.75,Bogota,Transferencia,Web,Vendedor_046,Completada
161,2024-12-02,Cliente_009,Webcam,Perifericos,6,1338.12,0.08,7386.42,Barranquilla,Tarjeta_Debito,Web,Vendedor_010,Cancelada
162,2024-11-21,Cliente_008,Monitor,Almacenamiento,3,1920.44,0.16,4839.51,Medellin,Transferencia,App,Vendedor_045,Cancelada
163,2024-02-05,Cliente_003,Audifonos,Perifericos,5,589.6,0.11,2623.72,Bucaramanga,Transferencia,App,Vendedor_045,Pendiente
164,2024-03-14,Cliente_010,Audifonos,Telefonia,10,1388.29,0.0,13882.9,Bogota,Efectivo,Tienda,Vendedor_032,Cancelada
165,2024-08-06,Cliente_007,Celular,Impresion,1,1140.11,0.02,1117.31,Bogota,Efectivo,Tienda,Vendedor_029,Completada
166,2024-12-22,Cliente_006,Teclado,Impresion,4,394.27,0.16,1324.75,Bucaramanga,Tarjeta_Debito,Web,Vendedor_012,Completada
167,2024-01-01,Cliente_006,Tablet,Computadores,2,1325.87,0.13,2307.01,Bucaramanga,Transferencia,Tienda,Vendedor_034,Cancelada
168,2024-09-29,Cliente_005,Disco_SSD,Almacenamiento,5,1483.37,0.01,7342.68,Medellin,Tarjeta_Debito,Call_Center,Vendedor_035,Pendiente
169,2024-09-02,Cliente_007,Disco_SSD,Impresion,10,1164.09,0.19,9429.13,Cartagena,Efectivo,Web,Vendedor_046,Pendiente
170,2024-07-12,Cliente_001,Webcam,Almacenamiento,9,831.81,0.05,7111.98,Manizales,Transferencia,Web,Vendedor_005,Cancelada
171,2024-03-16,Cliente_002,Laptop,Perifericos,7,1500.38,0.04,10082.55,Pereira,Efectivo,App,Vendedor_009,Pendiente
172,2024-01-01,Cliente_008,Laptop,Perifericos,5,1877.12,0.03,9104.03,Barranquilla,Transferencia,App,Vendedor_006,Completada
173,2024-02-12,Cliente_001,Disco_SSD,Impresion,2,334.82,0.19,542.41,Cali,Tarjeta_Credito,Web,Vendedor_044,Completada
174,2024-08-19,Cliente_005,Teclado,Telefonia,4,1778.5,0.03,6900.58,Bucaramanga,Tarjeta_Credito,App,Vendedor_027,Cancelada
175,2024-09-01,Cliente_009,Celular,Computadores,4,809.49,0.14,2784.65,Manizales,Tarjeta_Debito,App,Vendedor_014,Completada
176,2024-05-31,Cliente_008,Monitor,Perifericos,3,1847.56,0.17,4600.42,Manizales,Tarjeta_Credito,App,Vendedor_047,Completada
177,2024-10-19,Cliente_010,Mouse,Almacenamiento,6,1910.32,0.07,10659.59,Manizales,Tarjeta_Debito,Web,Vendedor_005,Pendiente
178,2024-08-21,Cliente_008,Audifonos,Telefonia,1,351.72,0.15,298.96,Bucaramanga,Transferencia,App,Vendedor_016,Cancelada
179,2024-09-18,Cliente_003,Monitor,Almacenamiento,8,1034.01,0.09,7527.59,Cali,Tarjeta_Debito,Web,Vendedor_030,Cancelada
180,2024-01-20,Cliente_003,Mouse,Almacenamiento,1,416.12,0.06,391.15,Barranquilla,Transferencia,App,Vendedor_013,Pendiente
181,2024-11-15,Cliente_002,Audifonos,Impresion,10,497.7,0.14,4280.22,Bucaramanga,Tarjeta_Debito,Web,Vendedor_006,Pendiente
182,2024-06-24,Cliente_004,Monitor,Almacenamiento,7,1533.13,0.11,9551.4,Barranquilla,Efectivo,Tienda,Vendedor_005,Completada
183,2024-12-14,Cliente_002,Impresora,Computadores,2,1702.29,0.18,2791.76,Bogota,Tarjeta_Debito,Web,Vendedor_034,Cancelada
184,2024-09-10,Cliente_008,Tablet,Almacenamiento,7,89.07,0.13,542.44,Barranquilla,Efectivo,App,Vendedor_002,Cancelada
185,2024-03-14,Cliente_010,Celular,Almacenamiento,6,1471.82,0.02,8654.3,Cali,Tarjeta_Debito,App,Vendedor_004,Pendiente
186,2024-01-30,Cliente_006,Tablet,Almacenamiento,3,1685.5,0.08,4651.98,Cali,Tarjeta_Debito,App,Vendedor_020,Pendiente
187,2024-06-09,Cliente_004,Celular,Impresion,2,1678.34,0.11,2987.45,Barranquilla,Transferencia,App,Vendedor_007,Completada
