id_venta;fecha;cliente;producto;categoria;ciudad;cantidad;precio_unitario;valor;canal
2322;30/08/2026;1109;Bolígrafo;Papelería;Bucaramanga;4;5000;20000;Distribuidor
2324;18/07/2026;1205;Teclado;Tecnología;Cali;3;180000;540000;Web
2325;25/05/2026;1274;Escritorio;Oficina;Cartagena;1;900000;900000;Distribuidor
2326;27/06/2026;1114;Cuaderno;Papelería;Bucaramanga;5;18000;90000;Tienda
2327;2/04/2026;1175;Mouse;Tecnología;Cali;5;90000;450000;App
2328;1/01/2026;1040;Mochila;Accesorios;Cartagena;2;160000;320000;Distribuidor
2329;12/03/2026;1109;Cuaderno;Papelería;Medellin;3;18000;54000;Tienda
2330;11/08/2026;1093;Monitor;Tecnología;Cali;4;850000;3400000;Distribuidor
2331;19/03/2026;1247;Audífonos;Tecnología;Cali;1;220000;220000;Distribuidor
2332;14/05/2026;1204;Escritorio;Oficina;Medellin;5;900000;4500000;Web
2333;24/02/2026;1178;Cuaderno;Papelería;Pereira;1;18000;18000;Tienda
2335;7/03/2026;1233;Mochila;Accesorios;Cartagena;1;160000;160000;Distribuidor
2337;13/05/2026;1258;Monitor;Tecnología;Cartagena;3;850000;2550000;Distribuidor
2338;31/08/2026;1058;Silla;Oficina;Pereira;2;650000;1300000;App
2339;6/08/2026;1041;Bolígrafo;Papelería;Pereira;2;5000;10000;Distribuidor
2340;4/01/2026;1102;Silla;Oficina;Bucaramanga;5;650000;3250000;App
2342;21/01/2026;1236;Monitor;Tecnología;Pereira;3;850000;2550000;Distribuidor
2343;26/01/2026;1130;Mochila;Accesorios;Bucaramanga;4;160000;640000;App
2344;22/06/2026;1278;Audífonos;Tecnología;Pereira;3;220000;660000;Tienda
2345;2/04/2026;1009;Audífonos;Tecnología;Cali;4;220000;880000;Distribuidor
2346;16/06/2026;1058;Audífonos;Tecnología;Bucaramanga;3;220000;660000;Tienda
2347;19/01/2026;1128;Bolígrafo;Papelería;Bucaramanga;2;5000;10000;Distribuidor
2348;13/02/2026;1075;Bolígrafo;Papelería;Bogota;4;5000;20000;Web
2349;9/08/2026;1125;Audífonos;Tecnología;Cali;5;220000;1100000;Distribuidor
2351;20/01/2026;1196;Teclado;Tecnología;Cartagena;5;180000;900000;Tienda
2352;10/02/2026;1217;Silla;Oficina;Bucaramanga;4;650000;2600000;App
2353;12/01/2026;1041;Teclado;Tecnología;Bucaramanga;4;180000;720000;App
2354;1/03/2026;1156;Mouse;Tecnología;Cartagena;5;90000;450000;App
2357;22/05/2026;1205;Bolígrafo;Papelería;Bucaramanga;2;5000;10000;Tienda
2359;10/01/2026;1141;Escritorio;Oficina;Bucaramanga;3;900000;2700000;Web
2360;25/08/2026;1050;Mochila;Accesorios;Pereira;2;160000;320000;App
2361;26/04/2026;1114;Laptop;Tecnología;Bucaramanga;1;3200000;3200000;App
2363;18/06/2026;1286;Bolígrafo;Papelería;Barranquilla;1;5000;5000;Distribuidor
2364;25/06/2026;1228;Silla;Oficina;Cali;2;650000;1300000;App
2365;25/08/2026;1200;Cuaderno;Papelería;Medellin;3;18000;54000;Web
2366;26/07/2026;1250;Laptop;Tecnología;Bucaramanga;5;3200000;16000000;Tienda
2367;26/06/2026;1156;Monitor;Tecnología;Medellin;3;850000;2550000;App
2368;11/06/2026;1016;Cuaderno;Papelería;Bucaramanga;2;18000;36000;Distribuidor
2370;1/08/2026;1285;Laptop;Tecnología;Pereira;4;3200000;12800000;App
2371;1/05/2026;1194;Escritorio;Oficina;Cartagena;5;900000;4500000;Web
2372;5/03/2026;1109;Monitor;Tecnología;Barranquilla;1;850000;850000;Web
2374;29/07/2026;1215;Silla;Oficina;Pereira;5;650000;3250000;Web
2375;23/05/2026;1055;Silla;Oficina;Pereira;3;650000;1950000;App
2378;24/07/2026;1238;Audífonos;Tecnología;Bogota;2;220000;440000;App
2380;7/04/2026;1071;Laptop;Tecnología;Cartagena;5;3200000;16000000;Web
2383;12/01/2026;1283;Mochila;Accesorios;Pereira;5;160000;800000;Distribuidor
2384;9/04/2026;1123;Teclado;Tecnología;Barranquilla;2;180000;360000;App
2385;30/08/2026;1151;Mouse;Tecnología;Cali;1;90000;90000;Web
2386;16/01/2026;1236;Mouse;Tecnología;Cartagena;2;90000;180000;Distribuidor
2389;25/08/2026;1209;Monitor;Tecnología;Bogota;5;850000;4250000;Tienda
2390;29/08/2026;1134;Escritorio;Oficina;Bogota;5;900000;4500000;Distribuidor
2391;3/03/2026;1225;Mochila;Accesorios;Bucaramanga;4;160000;640000;Tienda
2392;31/01/2026;1021;Audífonos;Tecnología;Pereira;3;220000;660000;Distribuidor
2393;24/07/2026;1220;Bolígrafo;Papelería;Bucaramanga;1;5000;5000;Distribuidor
2394;23/02/2026;1297;Teclado;Tecnología;Pereira;1;180000;180000;App
2395;28/03/2026;1073;Silla;Oficina;Barranquilla;2;650000;1300000;App
2397;23/08/2026;1134;Cuaderno;Papelería;Pereira;3;18000;54000;Web
2398;1/06/2026;1133;Cuaderno;Papelería;Cali;5;18000;90000;Distribuidor
2399;21/05/2026;1076;Mochila;Accesorios;Bogota;5;160000;800000;Web
2400;28/05/2026;1289;Laptop;Tecnología;Medellin;3;3200000;9600000;App
2401;30/05/2026;1291;Audífonos;Tecnología;Bucaramanga;3;220000;660000;Web
2403;17/03/2026;1132;Mochila;Accesorios;Cali;2;160000;320000;Distribuidor
2404;15/01/2026;1076;Mouse;Tecnología;Cartagena;5;90000;450000;App
2405;7/01/2026;1245;Audífonos;Tecnología;Cali;5;220000;1100000;Distribuidor
2406;29/03/2026;1257;Silla;Oficina;Bucaramanga;3;650000;1950000;Web
2409;25/06/2026;1115;Mouse;Tecnología;Cali;2;90000;180000;Web
2410;23/05/2026;1101;Mochila;Accesorios;Pereira;3;160000;480000;Tienda
2412;14/04/2026;1205;Silla;Oficina;Bucaramanga;1;650000;650000;Tienda
2413;18/06/2026;1284;Bolígrafo;Papelería;Bogota;5;5000;25000;App
2416;27/04/2026;1137;Cuaderno;Papelería;Medellin;5;18000;90000;Tienda
2417;23/05/2026;1033;Monitor;Tecnología;Bucaramanga;2;850000;1700000;Web
2420;27/01/2026;1101;Silla;Oficina;Pereira;4;650000;2600000;Tienda
2421;1/03/2026;1102;Cuaderno;Papelería;Bogota;1;18000;18000;Distribuidor
2423;5/01/2026;1227;Mochila;Accesorios;Barranquilla;2;160000;320000;Tienda
2425;28/07/2026;1091;Mochila;Accesorios;Cali;3;160000;480000;Distribuidor
2428;8/06/2026;1250;Cuaderno;Papelería;Bogota;1;18000;18000;Web
2429;13/06/2026;1084;Bolígrafo;Papelería;Barranquilla;2;5000;10000;Distribuidor
2430;3/02/2026;1049;Escritorio;Oficina;Bucaramanga;4;900000;3600000;App
2431;25/06/2026;1100;Bolígrafo;Papelería;Pereira;1;5000;5000;Web
2432;29/04/2026;1164;Mouse;Tecnología;Cali;5;90000;450000;App
2433;30/08/2026;1108;Monitor;Tecnología;Bucaramanga;5;850000;4250000;App
2435;29/03/2026;1167;Teclado;Tecnología;Cartagena;5;180000;900000;Web
2436;31/08/2026;1138;Mochila;Accesorios;Pereira;2;160000;320000;Distribuidor
2437;15/05/2026;1190;Cuaderno;Papelería;Pereira;2;18000;36000;App
2438;6/06/2026;1162;Silla;Oficina;Bucaramanga;4;650000;2600000;App
2439;7/06/2026;1214;Escritorio;Oficina;Cartagena;1;900000;900000;Distribuidor
2440;26/07/2026;1072;Laptop;Tecnología;Barranquilla;4;3200000;12800000;App
2441;21/05/2026;1107;Laptop;Tecnología;Pereira;3;3200000;9600000;Web
2442;31/05/2026;1219;Silla;Oficina;Bogota;4;650000;2600000;App
2443;16/06/2026;1111;Bolígrafo;Papelería;Cartagena;5;5000;25000;Web
2445;5/05/2026;1241;Teclado;Tecnología;Cali;1;180000;180000;Distribuidor
2449;26/02/2026;1167;Cuaderno;Papelería;Medellin;4;18000;72000;Tienda
2450;19/03/2026;1294;Teclado;Tecnología;Cartagena;2;180000;360000;App
2453;4/02/2026;1229;Silla;Oficina;Pereira;2;650000;1300000;App
2454;5/04/2026;1236;Silla;Oficina;Barranquilla;3;650000;1950000;Web
2455;20/06/2026;1131;Mouse;Tecnología;Bucaramanga;5;90000;450000;App
2456;12/01/2026;1219;Teclado;Tecnología;Bogota;4;180000;720000;Distribuidor
2458;9/01/2026;1259;Mochila;Accesorios;Barranquilla;3;160000;480000;Tienda
2463;19/03/2026;1295;Silla;Oficina;Bogota;3;650000;1950000;Web
2464;21/08/2026;1011;Bolígrafo;Papelería;Pereira;4;5000;20000;Distribuidor
2466;26/04/2026;1133;Silla;Oficina;Barranquilla;2;650000;1300000;Web
2468;1/07/2026;1076;Mochila;Accesorios;Medellin;2;160000;320000;Web
2469;7/06/2026;1274;Teclado;Tecnología;Bogota;5;180000;900000;Tienda
2470;21/01/2026;1036;Teclado;Tecnología;Cartagena;3;180000;540000;App
2471;11/06/2026;1104;Mouse;Tecnología;Bucaramanga;3;90000;270000;Web
2472;25/03/2026;1112;Escritorio;Oficina;Cali;3;900000;2700000;Web
2473;14/01/2026;1193;Teclado;Tecnología;Barranquilla;1;180000;180000;Tienda
